AverageSalary,Job,Organization,Data
109351,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,שירותי בריאות כללית,מנהל מחלקה כירורגית חזה
89527,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,שירותי בריאות כללית,מנהל יחידה כירורגית כלי דם
82410,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,קופת-חולים "מאוחדת",מנהל כללי
80590,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,שירותי בריאות כללית,מנהל מחלקה כירורגית חזה
78520,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,שירותי בריאות כללית,רופא מומחה בקרדיולוגיה
77065,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,שירותי בריאות כללית,רופא מומחה ברדיולוגיה
74932,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,קופת-חולים "מאוחדת",מנהל אגף
74648,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,קופת-חולים "מאוחדת",נשים ויילוד
74397,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,שירותי בריאות כללית,מנהל יחידה מקצועית
73606,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,מכבי שירותי בריאות,מנהל כללי
72884,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,שירותי בריאות כללית,מנהל מחלקת גסטרואנטרולוגיה
72759,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,שירותי בריאות כללית,מנהל מחלקה כירורגית חזה
71761,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,קופת-חולים "מאוחדת",מבקר פנימי
71627,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,שירותי בריאות כללית,רופא מומחה בקרדיולוגיה
70764,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,שירותי בריאות כללית,מנהל מרפאה
69769,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,חברת נמל חיפה,נתב
69761,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,קופת-חולים "מאוחדת",מנהל אגף כספים
69162,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,שירותי בריאות כללית,מנהל מכון איזוטופים
68636,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,שירותי בריאות כללית,מנהל מחלקת השתלות איברים
68576,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,התעשיה האוירית לישראל בע"מ,מנהל ראשי
