AverageSalary,Job,Organization,Data
107716,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,שירותי בריאות כללית,מנהל מחלקה כירורגית חזה
100095,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,שירותי בריאות כללית,מנהל מחלקת גסטרואנטרולוגיה
98461,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,שירותי בריאות כללית,מנהל יחידת כירוגית כלי דם
95731,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,שירותי בריאות כללית,רופא מומחה בקרדיולוגיה
95060,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,התעשייה האוירית לישראל,מומחה בתכנון וניתוח מידע
94253,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,קופת חולים מאוחדת,מנהל אגף רפואה
91959,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,שירותי בריאות כללית,מנהל מרפאה מומחה
89155,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,שירותי בריאות כללית,רופא מומחה בקרדיולוגיה
87424,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,שירותי בריאות כללית,מנהל יחידה מקצועית
86762,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,שירותי בריאות כללית,מנהל מכון לב
86447,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,שירותי בריאות כללית,מנהל יחידת רדיולוגיה
83520,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,שירותי בריאות כללית,מנהל מחלקת כירורגית חזה
83336,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,שירותי בריאות כללית,רופא מומחה בכיר
83067,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,התעשייה האוירית לישראל,מנהל ראשי
81457,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,שירותי בריאות כללית,מנהל מרפאה
81264,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,המרכז האקדמי רופין,מרצה בכיר לכלכלה וחשבונאות
81252,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,שירותי בריאות כללית,רופא מומחה בהרדמה
79799,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,שירותי בריאות כללית,רופא מומחה בקרדיולוגיה
89953,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,שירותי בריאות כללית,רופא מומחה
79085,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,שירותי בריאות כללית,מנהל מחלקת קרדיולוגיה
