AverageSalary,Data,Organization,Job
84733,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,שירותי בריאות כללית,מנהל מחלקה כירורגית חזה
84652,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,שירותי בריאות כללית,מנהל יחידה כירורגית כלי דם
80132,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,קופת-חולים "מאוחדת",מנהל כללי
78069,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,שירותי בריאות כללית,מנהל מחלקה כירורגית חזה
75938,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,שירותי בריאות כללית,מנהל יחידה מקצועית
74046,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,בנק ישראל,חבר הנהלה
74018,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,קופת-חולים "מאוחדת",נשים ויילוד
73843,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,אוניברסיטת בר אילן,מנהל מחלקה
73479,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,קופת-חולים "מאוחדת",מנהל אגף
70474,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,שירותי בריאות כללית,רופא מומחה בקרדיולוגיה
67948,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,חברת נמל אשדוד,נתב
67664,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,חברת נמל חיפה,נתב
67612,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,חברת נמל אשדוד,רב חובל
67544,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,חברת נמל חיפה,נתב
67495,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,שירותי בריאות כללית,רופא מומחה ברפואת נשים
67409,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,חברת נמל חיפה,נתב
66297,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,קופת-חולים "מאוחדת",מנהל אגף כספים
65126,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,שירותי בריאות כללית,רופא מומחה ברדיולוגיה
64887,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,חברת נמל אילת,ראש מחלקת ים
64797,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,קופת-חולים "מאוחדת",מבקר פנימי
