AverageSalary,Data,Organization,Job
103704,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,שירותי בריאות כללית,מנהל מחלקות בתי חולים 
82417,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,בנק ישראל,סגן מנהל מחלקה
80159,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,בנק ישראל,סגן מנהל מחלקה
76765,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,קופת-חולים "מאוחדת",מנהל כללי
72419,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,שירותי בריאות כללית,מנהל מחלקות בתי חולים
70236,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,בנק ישראל,כלכלן בכיר
69900,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,בנק ישראל,מנהל יחידה
69450,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,מכבי שירותי בריאות,מנהל כללי
69216,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,קופת-חולים "מאוחדת",משנה למנכ"ל
68761,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,האוניברסיטה העברית בי-ם,סגל מינהלי
68153,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,בנק ישראל,כלכלן בכיר
67553,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,אוניברסיטת חיפה,סגן נשיא
67389,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,האוניברסיטה העברית בי-ם,סגל אקדמי
66829,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,קופת-חולים "מאוחדת",מנהל אגף	
66330,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,בנק ישראל,סגן מנהל מחלקה
65639,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,בנק ישראל,תכניתן
65030,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,בנק ישראל,תכניתן
64317,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,בנק ישראל,חבר הנהלה
63450,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,בנק ישראל,מבקר בכיר
61859,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,שירותי בריאות  כללית,מנהל כללי 
