AverageSalary,Data,Organization,Job
107226,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,שירותי בריאות כללית,מנהל מחלקה כירורגית חזה
95123,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,שירותי בריאות כללית,מנהל יחידת כירוגית כלי דם
94902,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,אונברסיטת בר אילן,החוג המשולב
92956,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,התעשיה האוירית לישראל בע"מ,מנהל ראשי
92042,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,שירותי בריאות כללית,מנהל מחלקת גסטרואנטרולוגיה
90926,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,שירותי בריאות כללית,רופא מומחה בקרדיולוגיה
87253,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,שירותי בריאות כללית,מנהל מרפאה
87171,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,קופת חולים מאוחדת,אגף רפואי
87046,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,שירותי בריאות כללית,רופא מומחה בקרדיולוגיה
85756,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,קופת חולים מאוחדת,מנהל מחלקת הדמיה וגניקולוגיה
81086,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,שירותי בריאות כללית,מנהל מחלקת כירורגית חזה
80678,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,שירותי בריאות כללית,מנהל מרפאה מומחה
79788,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,קופת חולים מאוחדת,מנהל אגף כספים
78822,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,שירותי בריאות כללית,מנהל מכון לב
78304,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,שירותי בריאות כללית,מנהל מחלקת השתלות איברים
77220,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,המועצה להשכלה גבוהה,יו"ר דירקטוריון
76511,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,שירותי בריאות כללית,מנהל מחלקת קרדיולוגיה
76005,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,שירותי בריאות כללית,רופא מומחה ברדיולוגיה
74747,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,התעשיה האוירית לישראל בע"מ,מנהל ראשי
74109,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,רפאל-מערכות לחימה מתקדמות בע"מ,יו"ר דירקטוריון
