AverageSalary,Data,Organization,Job
108015,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,שירותי בריאות כללית,מנהל מחלקות בתי חולים 
102873,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,בנק ישראל,חבר הנהלה
90030,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,קופת-חולים "מאוחדת",מנהל אגף
87532,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,בנק ישראל,תכניתן
85333,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,בנק ישראל,מנתח שיטות בכיר
81834,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,קופת-חולים "מאוחדת",מנהל כללי
79841,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,שירותי בריאות כללית,מנהל מחלקות בתי חולים
79067,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,בנק ישראל,סגן מנהל מחלקה
78956,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,בנק ישראל,משנה למנהל מחלקה
78379,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,בנק ישראל,כלכלן בכיר
76283,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,קופת-חולים "מאוחדת",משנה למנכ"ל
75939,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,בנק ישראל,מנתח שיטות בכיר
75484,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,בנק ישראל,מנתח שיטות בכיר
75196,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,בנק ישראל,מנתח שיטות בכיר
71669,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,בנק ישראל,מנהל מדור בכיר
71312,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,בנק ישראל,סגן מנהל מחלקה
71182,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,בנק ישראל,תכניתן
71006,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,מכבי שירותי בריאות,מנהל כללי
69241,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,בנק ישראל,חבר הנהלה
66892,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,בנק ישראל,מנהל מדור
