AverageSalary,Data,Organization,Job
100636,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,שירותי בריאות כללית,מנהל מחלקות בתי חולים 
97856,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,בנק ישראל,מבקר ראשי
96964,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,בנק ישראל,תכניתן
92791,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,בנק ישראל,סגן מנהל מחלקה
91733,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,בנק ישראל,סגן מנהל מחלקה
87419,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,בנק ישראל,משנה למנהל מחלקה
86247,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,בנק ישראל,משנה למנהל מחלקה
85243,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,בנק ישראל,כלכלן בכיר
81386,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,בנק ישראל,יועץ למנהל מחלקה
76662,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,בנק ישראל,חבר הנהלה
76571,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,בנק ישראל,חבר הנהלה
76379,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,בנק ישראל,מבקר בכיר
76345,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,בנק ישראל,מנהל יחידה
76123,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,בנק ישראל,חבר הנהלה	
75336,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,בנק ישראל,מבקר בכיר
73799,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,אלתא תעשיות אלקטרוניות בע"מ,מנהל שיווק
73639,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,קופת-חולים "מאוחדת",מנהל כללי
73159,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,בנק ישראל,מנהל יחידה
72655,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,בנק ישראל,מנהל יחידה
71262,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,בנק ישראל,מבקר
